Id,Name,Tm,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,HBP,SF,IBB,Name-additional
671,Lenyn Sosa,CHW,11,35,3,4,1,0,1,1,0,0,1,12,0,0,0,sosale01
672,Juan Soto,TOT,153,524,93,127,25,2,27,62,6,2,135,96,4,0,6,sotoju01
673,Livan Soto,LAA,18,55,9,22,5,1,1,9,1,1,2,13,0,1,0,sotoli01
674,Steven Souza Jr.,SEA,6,19,0,3,0,0,0,1,0,0,0,8,0,0,0,souzast01
675,Cory Spangenberg,STL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,spangco01
676,George Springer,TOR,133,513,89,137,22,4,25,76,14,2,54,100,7,5,1,springe01
677,Jacob Stallings,MIA,114,346,25,77,12,0,4,34,0,1,29,83,6,2,0,stallja01
678,Giancarlo Stanton,NYY,110,398,53,84,7,0,31,78,0,0,50,137,0,3,2,stantmi03
679,Max Stassi,LAA,102,333,32,60,12,1,9,30,0,0,38,112,2,1,0,stassma01
680,Josh Staumont,KCR,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,staumjo01
681,Drew Steckenrider,SEA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,steckdr01
682,Spencer Steer,CIN,28,95,12,20,5,0,2,8,0,1,11,26,2,0,0,steersp01
683,Michael Stefanic,LAA,25,61,5,12,2,0,0,0,0,0,5,12,2,0,0,stefami01
684,Jackson Stephens,ATL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,stephja01
685,Tyler Stephenson,CIN,50,166,24,53,9,0,6,35,1,0,12,47,3,2,0,stephty01
686,Cal Stevenson,OAK,23,60,5,10,3,0,0,1,1,1,8,23,0,1,0,steveca01
687,DJ Stewart,BAL,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,stewadj01
688,Trevor Story,BOS,94,357,53,85,22,0,16,66,13,0,32,122,3,4,4,storytr01
689,Bryson Stott,PHI,127,427,58,100,19,2,10,49,12,4,36,89,1,1,0,stottbr01
690,Kyle Stowers,BAL,34,91,11,23,4,1,3,11,0,0,5,29,2,0,0,stoweky01
691,Dee Strange-Gordon,WSN,22,59,6,18,1,1,0,2,3,2,0,8,0,0,0,gordode01
692,Myles Straw,CLE,152,535,72,118,22,3,0,32,21,1,54,87,1,4,0,strawmy01
693,Hunter Strickland,CIN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,strichu01
694,Garrett Stubbs,PHI,46,106,19,28,4,1,5,16,2,0,14,30,0,0,0,stubbga01
695,Eugenio Suarez,SEA,150,543,76,128,24,2,31,87,0,0,73,196,8,5,0,suareeu01
696,Cole Sulser,MIA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sulseco01
697,Jack Suwinski,PIT,106,326,45,66,11,0,19,38,4,2,41,114,4,1,1,suwinja01
698,Kurt Suzuki,LAA,51,139,10,25,4,0,4,15,0,0,15,29,2,2,0,suzukku01
699,Seiya Suzuki,CHC,111,397,54,104,22,2,14,46,9,5,42,110,4,3,3,suzukse01
700,Travis Swaggerty,PIT,5,9,0,1,0,0,0,0,0,0,0,4,0,0,0,swaggtr01
701,Dansby Swanson,ATL,162,640,99,177,32,1,25,96,18,7,49,182,3,4,0,swansda01
702,Raimel Tapia,TOR,128,411,47,109,20,3,7,52,8,2,16,81,0,1,0,tapiara01
703,Dillon Tate,BAL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tatedi01
704,Leody Taveras,TEX,99,314,39,82,14,2,5,34,11,5,21,88,2,3,0,taverle01
705,Chris Taylor,LAD,118,402,45,89,25,3,10,43,10,1,44,160,5,3,2,tayloch03
706,Michael A. Taylor,KCR,124,414,49,105,10,3,9,43,4,2,35,109,2,3,0,taylomi02
707,Tyrone Taylor,MIL,120,373,49,87,21,3,17,51,3,2,22,102,7,3,0,tayloty01
708,Rowdy Tellez,MIL,153,529,67,116,23,0,35,89,2,1,62,121,5,3,9,tellero01
709,Matt Thaiss,LAA,29,69,9,15,1,0,2,8,1,0,11,24,0,1,1,thaisma01
710,Caleb Thielbar,MIN,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,thielca01
711,Alek Thomas,ARI,113,381,45,88,17,1,8,39,4,3,22,74,3,5,0,thomaal01
712,Cody Thomas,OAK,10,30,1,8,0,0,0,0,0,0,2,12,0,0,0,thomaco01
713,Dillon Thomas,LAA,8,11,1,1,0,0,0,0,0,0,2,6,1,0,0,thomadi01
714,Lane Thomas,WSN,146,498,62,120,26,2,17,52,8,4,41,132,4,5,0,thomala02
715,Bubba Thompson,TEX,55,170,18,45,5,0,1,9,18,3,7,56,2,0,0,thompbu01
716,Trayce Thompson,TOT,80,219,36,56,14,1,13,41,4,1,32,93,2,2,0,thomptr01
717,Michael Toglia,COL,31,111,10,24,8,2,2,12,1,1,9,44,0,0,0,toglimi01
718,Ka'ai Tom,SFG,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,tomka01
719,Spencer Torkelson,DET,110,360,38,73,16,1,8,28,0,1,37,99,5,2,0,torkesp01
720,Abraham Toro,SEA,109,324,36,60,13,1,10,35,2,0,22,65,2,4,1,toroab01
721,Luis Torrens,SEA,55,151,13,34,2,0,3,15,0,0,12,50,1,2,0,torrelu01
722,Gleyber Torres,NYY,140,526,73,135,28,1,24,76,10,5,39,129,3,3,2,torregl01
723,Ezequiel Tovar,COL,9,33,2,7,1,0,1,2,0,0,2,9,0,0,0,tovarez01
724,Taylor Trammell,SEA,43,102,15,20,9,0,4,10,2,1,13,33,0,1,0,trammta01
725,Alan Trejo,COL,35,118,15,32,6,0,4,17,1,2,5,31,2,0,0,trejoal01
726,Jose Trevino,NYY,115,335,39,83,12,1,11,43,2,1,15,62,2,1,0,trevijo01
727,Chadwick Tromp,ATL,1,4,0,3,2,0,0,3,0,0,0,0,0,0,0,trompch01
728,Mike Trout,LAA,119,438,85,124,28,2,40,80,1,0,54,139,6,1,8,troutmi01
729,Yoshi Tsutsugo,PIT,50,170,11,29,4,0,2,19,0,0,19,50,0,4,0,tsutsyo01
